code;orgTypeFormula;name;nameShorten;address_address_line;address_city;address_region;address_state;address_zipcode;address_district;address_cityName
GN4V;Ведомственное УЗ ВС КГБ МВД;Государственное учреждение «Центральная поликлиника Департамента финансов и тыла Министерства внутренних дел Республики Беларусь»;Центральная поликлиника Департамента финансов и тыла Министерства внутренних дел Республики Беларусь;ул. Мясникова, 25а;г. Минск;г. Минск;Минская обл.;220030;Мінскі;Минск
3U4V;Ведомственное УЗ ВС КГБ МВД;Государственное учреждение «Республиканский госпиталь Департамента финансов и тыла МВД Республики Беларусь»;Республиканский госпиталь Департамента финансов и тыла МВД Республики Беларусь;ул. Золотая Горка, 4;г. Минск;г. Минск;Минская обл.;220005;Мінскі;Минск
Q0UU;Ведомственное УЗ ВС КГБ МВД;Государственное учреждение «Республиканский центр гигиены и эпидемиологии Департамента финансов и тыла Министерства внутренних дел Республики Беларусь»;Республиканский центр гигиены и эпидемиологии Департамента финансов и тыла Министерства внутренних дел Республики Беларусь;ул. Мясникова, 25а;г. Минск;г. Минск;Минская обл.;220030;Мінскі;Минск
3668;Ведомственное УЗ ВС КГБ МВД;Центральная военно-врачебная комиссия МВД РБ;Центральная военно-врачебная комиссия МВД РБ;ул. Мясникова, 25а;г. Минск;г. Минск;Минская обл.;220030;Мінскі;Минск
OSMV;Ведомственное УЗ ВС КГБ МВД;Учреждение здравоохранения «Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Брестской области»;Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Брестской области;ул. Ленина, 37/1;г. Брест;г. Брест;г. Брест;224030;Брэсцкі;Брест
CMNI;Ведомственное УЗ ВС КГБ МВД;Учреждение здравоохранения «Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Витебской области»;Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Витебской области;ул. Калинина, 5;г. Витебск;г. Витебск;Витебская обл.;210015;Віцебскі;Витебск
9M4A;Ведомственное УЗ ВС КГБ МВД;Учреждение здравоохранения «Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Гомельской области»;Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Гомельской области;ул. Коммунаров, 3а;г. Гомель;г. Гомель;г. Гомель;246000;Гомельскі;Гомель
1R7P;Ведомственное УЗ ВС КГБ МВД;Учреждение здравоохранения «Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Гродненской области»;Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Гродненской области;ул. Островского, 3;г. Гродно;г. Гродно;г. Гродно;230029;Гродзенскі;Гродно
105E;Ведомственное УЗ ВС КГБ МВД;Учреждение здравоохранения «Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Могилевской области»;Медицинская служба Департамента финансов и тыла Министерства внутренних дел по Могилевской области;ул. Орловского, 38;г. Могилев;г. Могилев;г. Могилев;212026;Магілёўскі;Могилев
21O9;Ведомственное УЗ ВС КГБ МВД;Военно-медицинский отдел Государственного пограничного комитета Республики Беларусь;Военно-медицинский отдел Государственного пограничного комитета Республики Беларусь;ул. Толбухина, 21;г. Минск;г. Минск;Минская обл.;220012;Мінскі;Минск
QVIL;Госпиталь;Государственное учреждение «1-й военный госпиталь органов пограничной службы Республики Беларусь»;1-й военный госпиталь органов пограничной службы Республики Беларусь;в/ч 1236, ул. Космонавтов, 26а;г. Поставы;Витебская обл.;Витебская обл.;211873;Пастаўскі;Поставы
64MF;Ведомственное УЗ ВС КГБ МВД;Военно-медицинское управление Министерства обороны Республики Беларусь;Военно-медицинское управление Министерства обороны Республики Беларусь;ул. Азгура, 4;г. Минск;г. Минск;Минская обл.;220034;Мінскі;Минск
FSPH;Поликлиника;Поликлиника учреждения образования «Военная академия Республики Беларусь»;Поликлиника учреждения образования «Военная академия Республики Беларусь;ул. Фогеля, 3а;г. Минск;г. Минск;Минская обл.;220057;Мінскі;Минск
37EN;Больница;Учреждение здравоохранения «Гомельская областная детская клиническая больница медицинской реабилитации»;Гомельская областная детская клиническая больница медицинской реабилитации;ул. Октябрьская, 121;п. Ченки;Гомельская обл.;Гомельская обл.;247001;Гомельскі;Ченки
0S0F;Больница;Лапичская участковая больница;Лапичская участковая больница;ул. Октябрьская, 14;д. Лапичи;Могилевская обл.;Могилевская обл.;213721;Асіповіцкі;Лапичи
RANI;Больница;Государственное учреждение «Республиканская туберкулезная больница „Новоельня“»;Республиканская туберкулезная больница „Новоельня“;ул. Дятловская, 17;г.п. Новоельня;Гродненская обл.;Гродненская обл.;231470;Дзятлаўскі;Новоельня
F0V1;Больница;Государственное учреждение «Республиканская детская больница медицинской реабилитации»;Республиканская детская больница медицинской реабилитации;пер. Трудовой, 1А;агр. Острошицкий Городок;Минская обл.;Минская обл.;223054;Мінскі;Острошицкий Городок
C7NL;Больница;Филиал ГУ «Гродненский областной центр „Фтизиатрия“ туберкулезная больница «Ошмяны»;Филиал ГУ «Гродненский областной центр „Фтизиатрия“ туберкулезная больница «Ошмяны;0;д. Зеленая Дубрава;Гродненская обл.;Гродненская обл.;231101;Ашмянскі;Зеленая Дубрава
55I5;Больница;Государственное учреждение «Республиканская туберкулезная больница „Сосновка“»;Республиканская туберкулезная больница „Сосновка“;ул. Кольцевая, д. 27А;д. Сосновка;Витебская обл.;Витебская обл.;211233;Віцебскі;Сосновка
ERAH;Госпиталь;Государственное учреждение «Республиканский клинический госпиталь инвалидов Великой Отечественной войны им. П. М. Машерова»;Республиканский клинический госпиталь инвалидов Великой Отечественной войны им. П. М. Машерова;0;аг. Лесной;Минская обл.;Минская обл.;223040;Мінскі;Лесной
1UF7;Больница;Государственное учреждение «Республиканская психиатрическая больница «Гайтюнишки»»;Республиканская психиатрическая больница «Гайтюнишки;0;д. Гайтюнишки;Гродненская обл.;Гродненская обл.;231383;Воранаўскі;Гайтюнишки
4OFP;Стоматологическая Поликлиника;Государственное учреждение «Республиканская клиническая стоматологическая поликлиника»;Республиканская клиническая стоматологическая поликлиника;ул. Сухая, 28;г. Минск;г. Минск;Минская обл.;220004;Мінскі;Минск
GAO2;РНПЦ;Государственное учреждение «Республиканский научно-практический центр спорта»;Республиканский научно-практический центр спорта;ул. Нарочанская, д. 8;г. Минск;г. Минск;Минская обл.;220062;Мінскі;Минск
CQAQ;РНПЦ;Республиканский научно-практический центр «Трансплантации органов и тканей»;Республиканский научно-практический центр «Трансплантации органов и тканей;ул. Семашко, 8;г. Минск;г. Минск;Минская обл.;220045;Мінскі;Минск
NVRK;РНПЦ;Государственное учреждение «Республиканский научно-практический центр детской онкологии, гематологии и иммунологии»;Республиканский научно-практический центр детской онкологии, гематологии и иммунологии;ул. Фрунзенская, 43;д. Боровляны;Минская обл.;Минская обл.;223053;Мінскі;Боровляны
OK6M;Больница;Учреждение здравоохранения «1-я городская клиническая больница»;1-я городская клиническая больница;пр. Независимости, 64;г. Минск;г. Минск;Минская обл.;220013;Мінскі;Минск
JSRN;Больница;Учреждение здравоохранения «2-я городская клиническая больница»;2-я городская клиническая больница;ул. Энгельса, 25;г. Минск;г. Минск;Минская обл.;220030;Мінскі;Минск
CMPR;Больница;Учреждение здравоохранения «3-я городская клиническая больница им. Е.В. Клумова»;3-я городская клиническая больница им. Е.В. Клумова;ул. Ленина, 30;г. Минск;г. Минск;Минская обл.;220030;Мінскі;Минск
KR8J;Больница;Учреждение здравоохранения «4-я городская клиническая больница им. Н.Е. Савченко»;4-я городская клиническая больница им. Н.Е. Савченко;ул. Р. Люксембург, 110;г. Минск;г. Минск;Минская обл.;220036;Мінскі;Минск
JQA9;Больница;Учреждение здравоохранения «5-я городская клиническая больница»;5-я городская клиническая больница;ул. Филатова, 9;г. Минск;г. Минск;Минская обл.;220026;Мінскі;Минск
BITU;Больница;Учреждение здравоохранения «6-я городская клиническая больница»;6-я городская клиническая больница;ул. Уральская, 5;г. Минск;г. Минск;Минская обл.;220037;Мінскі;Минск
SBQV;РНПЦ;Государственное учреждение «Минский научно-практический центр хирургии, трансплантологии и гематологии»;Минский научно-практический центр хирургии, трансплантологии и гематологии;ул. Семашко, 8;г. Минск;г. Минск;Минская обл.;220045;Мінскі;Минск
CCR7;Больница;Учреждение здравоохранения «10-я городская клиническая больница»;10-я городская клиническая больница;ул. Уборевича, 73;г. Минск;г. Минск;Минская обл.;220096;Мінскі;Минск
BL3S;Больница;Учреждение здравоохранения «Городская клиническая больница скорой медицинской помощи»;Городская клиническая больница скорой медицинской помощи;ул. Кижеватова, 58;г. Минск;г. Минск;Минская обл.;220024;Мінскі;Минск
2P89;Больница;Учреждение здравоохранения «Городская гинекологическая больница»;Городская гинекологическая больница;ул. Сенницкая, 53;г. Минск;г. Минск;Минская обл.;220007;Мінскі;Минск
CS8L;Больница;Учреждение здравоохранения «2-я городская детская клиническая больница»;2-я городская детская клиническая больница;ул. Нарочанская, 17;г. Минск;г. Минск;Минская обл.;220020;Мінскі;Минск
MDUO;Больница;Учреждение здравоохранения «3-я городская детская клиническая больница»;3-я городская детская клиническая больница;ул. Кижеватова, 60/1;г. Минск;г. Минск;Минская обл.;220024;Мінскі;Минск
MV5O;Больница;Учреждение здравоохранения «4-я городская детская клиническая больница»;4-я городская детская клиническая больница;ул. Шишкина, 24;г. Минск;г. Минск;Минская обл.;220118;Мінскі;Минск
P28J;Больница;Учреждение здравоохранения «Городская детская инфекционная клиническая больница»;Городская детская инфекционная клиническая больница;ул. Якубовского, 53;г. Минск;г. Минск;Минская обл.;220018;Мінскі;Минск
5F2O;Больница;Учреждение здравоохранения «Городская клиническая инфекционная больница»;Городская клиническая инфекционная больница;ул. Кропоткина, 76;г. Минск;г. Минск;Минская обл.;220002;Мінскі;Минск
622E;РНПЦ;Государственное учреждение «Республиканский научно-практический центр оториноларингологии»;Республиканский научно-практический центр оториноларингологии;ул. Сухая, 8;г. Минск;г. Минск;Минская обл.;220004;Мінскі;Минск
0K5M;Диспансер;Учреждение здравоохранения «Городской клинический кожно-венерологический диспансер»;Городской клинический кожно-венерологический диспансер;ул. Прилукская, 46а;г. Минск;г. Минск;г. Минск;220089;Мінскі;Минск
F5FM;Диспансер;Учреждение здравоохранения «Городской клинический наркологический диспансер»;Городской клинический наркологический диспансер;ул. Гастелло, 16;г. Минск;г. Минск;г. Минск;220035;Мінскі;Минск
R0ER;Диспансер;Учреждение здравоохранения «Минский городской клинический онкологический диспансер»;Минский городской клинический онкологический диспансер;пр. Независимости, 64;г. Минск;г. Минск;г. Минск;220013;Мінскі;Минск
FKLQ;Диспансер;Учреждение здравоохранения «1-й городской противотуберкулезный диспансер»;1-й городской противотуберкулезный диспансер;ул. Я. Коласа, 57/3;г. Минск;г. Минск;г. Минск;220113;Мінскі;Минск
AHEM;Диспансер;Учреждение здравоохранения «2-й городской противотуберкулезный диспансер»;2-й городской противотуберкулезный диспансер;ул. Бехтерева, 9;г. Минск;г. Минск;г. Минск;220026;Мінскі;Минск
DT20;Диспансер;Учреждение здравоохранения «Городской клинический психиатрический диспансер»;Городской клинический психиатрический диспансер;ул. Бехтерева, 5;г. Минск;г. Минск;г. Минск;220026;Мінскі;Минск
JT95;Диспансер;Учреждение здравоохранения «Городской эндокринологический диспансер»;Городской эндокринологический диспансер;ул. Киселева, 7;г. Минск;г. Минск;г. Минск;220029;Мінскі;Минск
44QA;Поликлиника;Учреждение здравоохранения «1-я центральная районная клиническая поликлиника Центрального района г. Минска»;1-я центральная районная клиническая поликлиника Центрального района г. Минска;ул. Сухая, 6;г. Минск;г. Минск;Минская обл.;220004;Мінскі;Минск
HOFM;Поликлиника;Учреждение здравоохранения «3-я центральная районная клиническая поликлиника Октябрьского района г. Минска»;3-я центральная районная клиническая поликлиника Октябрьского района г. Минска;ул. Воронянского, 13, корп. 2;г. Минск;г. Минск;Минская обл.;220007;Мінскі;Минск
6AF0;Поликлиника;Учреждение здравоохранения «5-я городская клиническая поликлиника»;5-я городская клиническая поликлиника;ул. Есенина, 21;г. Минск;г. Минск;Минская обл.;220025;Мінскі;Минск
S51D;Поликлиника;Учреждение здравоохранения «7-я городская поликлиника»;7-я городская поликлиника;ул. Станиславского, 32;г. Минск;г. Минск;Минская обл.;220033;Мінскі;Минск
KO0S;Поликлиника;Учреждение здравоохранения «8-я городская поликлиника»;8-я городская поликлиника;ул. Никифорова, 3;г. Минск;г. Минск;Минская обл.;220141;Мінскі;Минск
1P71;Поликлиника;Учреждение здравоохранения «9-я городская поликлиника»;9-я городская поликлиника;ул. Щербакова, 1;г. Минск;г. Минск;Минская обл.;220009;Мінскі;Минск
SMNA;Поликлиника;Учреждение здравоохранения «11-я городская поликлиника»;11-я городская поликлиника;ул. Великоморская, 36;г. Минск;г. Минск;Минская обл.;220028;Мінскі;Минск
1OEE;Поликлиника;Учреждение здравоохранения «12-я городская поликлиника»;12-я городская поликлиника;ул. Ольшевского, 61;г. Минск;г. Минск;Минская обл.;220093;Мінскі;Минск
OK73;Поликлиника;Учреждение здравоохранения «13-я городская поликлиника»;13-я городская поликлиника;ул. Ломоносова, 3;г. Минск;г. Минск;Минская обл.;220113;Мінскі;Минск
R0AI;Поликлиника;Учреждение здравоохранения «14-я центральная районная поликлиника Партизанского района г. Минска»;14-я центральная районная поликлиника Партизанского района г. Минска;ул. Фроликова, 2;г. Минск;г. Минск;Минская обл.;220037;Мінскі;Минск
KRI7;Поликлиника;Учреждение здравоохранения «15-я городская поликлиника»;15-я городская поликлиника;ул. Р. Люксембург, 112/26;г. Минск;г. Минск;Минская обл.;220036;Мінскі;Минск
HPR3;Поликлиника;Учреждение здравоохранения «16-я городская клиническая поликлиника»;16-я городская клиническая поликлиника;ул. Щедрина, 83;г. Минск;г. Минск;Минская обл.;220053;Мінскі;Минск
RJ55;Поликлиника;Учреждение здравоохранения «17-я городская клиническая поликлиника»;17-я городская клиническая поликлиника;ул. Герасименко, 49;г. Минск;г. Минск;Минская обл.;220047;Мінскі;Минск
FJ6R;Поликлиника;Учреждение здравоохранения «18-я городская поликлиника»;18-я городская поликлиника;ул. Плеханова, 60, корп. 2;г. Минск;г. Минск;Минская обл.;220095;Мінскі;Минск
OB6S;Поликлиника;Учреждение здравоохранения «19-я центральная районная поликлиника Первомайского района г. Минска»;19-я центральная районная поликлиника Первомайского района г. Минска;пр. Независимости, 119;г. Минск;г. Минск;Минская обл.;220114;Мінскі;Минск
MBET;Поликлиника;Учреждение здравоохранения «20-я городская поликлиника»;20-я городская поликлиника;пр. Пушкина, 16;г. Минск;г. Минск;Минская обл.;220092;Мінскі;Минск
S085;Поликлиника;Учреждение здравоохранения «21-я центральная районная поликлиника Заводского района г. Минска»;21-я центральная районная поликлиника Заводского района г. Минска;ул. Филатова, 13;г. Минск;г. Минск;Минская обл.;220026;Мінскі;Минск
236P;Поликлиника;Учреждение здравоохранения «22-я городская поликлиника»;22-я городская поликлиника;ул. Ташкентская, 5;г. Минск;г. Минск;Минская обл.;220077;Мінскі;Минск
DCVN;Поликлиника;Учреждение здравоохранения «23-я городская поликлиника»;23-я городская поликлиника;пр-т Рокоссовского, 134;г. Минск;г. Минск;Минская обл.;220101;Мінскі;Минск
L6GO;Поликлиника;Коммунальное унитарное предприятие «24-я городская поликлиника спецмедосмотров»;24-я городская поликлиника спецмедосмотров;ул. Филимонова, 53;г. Минск;г. Минск;Минская обл.;220114;Мінскі;Минск
6PVP;Поликлиника;Учреждение здравоохранения «27-я городская поликлиника»;27-я городская поликлиника;ул. Калиновского, 55а;г. Минск;г. Минск;Минская обл.;220103;Мінскі;Минск
N5A3;Поликлиника;Учреждение здравоохранения «28-я городская поликлиника»;28-я городская поликлиника;ул. Гинтовта, 28;г. Минск;г. Минск;Минская обл.;220125;Мінскі;Минск
9M97;Поликлиника;Учреждение здравоохранения «29-я городская поликлиника»;29-я городская поликлиника;ул. Казинца, 94;г. Минск;г. Минск;Минская обл.;220108;Мінскі;Минск
I7IN;Поликлиника;Учреждение здравоохранения «30-я городская клиническая поликлиника»;30-я городская клиническая поликлиника;ул. Кольцова, 53/2;г. Минск;г. Минск;Минская обл.;220131;Мінскі;Минск
1QK2;Поликлиника;Учреждение здравоохранения «31-я городская поликлиника»;31-я городская поликлиника;ул. Бурдейного, 4;г. Минск;г. Минск;Минская обл.;220140;Мінскі;Минск
NPSQ;Поликлиника;Учреждение здравоохранения «32-я городская клиническая поликлиника»;32-я городская клиническая поликлиника;ул. Голубева, 25;г. Минск;г. Минск;Минская обл.;220117;Мінскі;Минск
SNP0;Поликлиника;Учреждение здравоохранения «33-я городская студенческая поликлиника»;33-я городская студенческая поликлиника;ул. Сурганова, 45, корп. 4;г. Минск;г. Минск;Минская обл.;220013;Мінскі;Минск
C5OC;Поликлиника;Учреждение здравоохранения «34-я центральная районная клиническая поликлиника Советского района г. Минска»;34-я центральная районная клиническая поликлиника Советского района г. Минска;ул. Кульман, 22;г. Минск;г. Минск;Минская обл.;220100;Мінскі;Минск
PV7D;Поликлиника;Учреждение здравоохранения «35-я городская клиническая поликлиника»;35-я городская клиническая поликлиника;ул. Серова, 15;г. Минск;г. Минск;Минская обл.;220024;Мінскі;Минск
IIL4;Поликлиника;Учреждение здравоохранения «36-я городская поликлиника»;36-я городская поликлиника;ул. А. Бачило, 9;г. Минск;г. Минск;Минская обл.;220075;Мінскі;Минск
IN8V;Поликлиника;Учреждение здравоохранения «1-я городская детская поликлиника»;1-я городская детская поликлиника;ул. Золотая Горка, 17;г. Минск;г. Минск;Минская обл.;220005;Мінскі;Минск
S87V;Поликлиника;Учреждение здравоохранения «2-я городская детская поликлиника»;2-я городская детская поликлиника;ул. Червякова, 31;г. Минск;г. Минск;Минская обл.;220053;Мінскі;Минск
GQD8;Поликлиника;Учреждение здравоохранения «3-я городская детская клиническая поликлиника»;3-я городская детская клиническая поликлиника;ул. Могилевская, 2/3;г. Минск;г. Минск;Минская обл.;220007;Мінскі;Минск
OKJL;Поликлиника;Учреждение здравоохранения «7-я городская детская поликлиника»;7-я городская детская поликлиника;ул. Плеханова, 127;г. Минск;г. Минск;Минская обл.;220095;Мінскі;Минск
AJA6;Поликлиника;Учреждение здравоохранения «8-я городская детская клиническая поликлиника»;8-я городская детская клиническая поликлиника;ул. Есенина, 66;г. Минск;г. Минск;Минская обл.;220051;Мінскі;Минск
LMV4;Поликлиника;Учреждение здравоохранения «9-я городская детская поликлиника»;9-я городская детская поликлиника;ул. Фроликова, 2;г. Минск;г. Минск;Минская обл.;220037;Мінскі;Минск
B7OP;Поликлиника;Учреждение здравоохранения «10-я городская детская клиническая поликлиника»;10-я городская детская клиническая поликлиника;ул. Шишкина, 24;г. Минск;г. Минск;Минская обл.;220118;Мінскі;Минск
F64D;Поликлиника;Учреждение здравоохранения «11-я городская детская поликлиника»;11-я городская детская поликлиника;ул. Никифорова, 5;г. Минск;г. Минск;Минская обл.;220141;Мінскі;Минск
QIV1;Поликлиника;Учреждение здравоохранения «12-я городская детская поликлиника»;12-я городская детская поликлиника;ул. Пермская, 50;г. Минск;г. Минск;Минская обл.;220089;Мінскі;Минск
FG6C;Поликлиника;Учреждение здравоохранения«13-я городская детская клиническая поликлиника»;Учреждение здравоохранения«13-я городская детская клиническая поликлиника;ул. Кижеватова, 60д;г. Минск;г. Минск;Минская обл.;220024;Мінскі;Минск
TTQ0;Поликлиника;Учреждение здравоохранения «15-я городская детская поликлиника»;15-я городская детская поликлиника;ул. Голубева, 27;г. Минск;г. Минск;Минская обл.;220117;Мінскі;Минск
U4AC;Поликлиника;Учреждение здравоохранения «16-я городская детская поликлиника»;16-я городская детская поликлиника;ул. Одоевского, 45;г. Минск;г. Минск;Минская обл.;220092;Мінскі;Минск
CKV5;Поликлиника;Учреждение здравоохранения «17-я городская детская клиническая поликлиника»;17-я городская детская клиническая поликлиника;ул. Кольцова, 53, корп. 1;г. Минск;г. Минск;Минская обл.;220131;Мінскі;Минск
83IO;Поликлиника;Учреждение здравоохранения «19-я городская детская поликлиника»;19-я городская детская поликлиника;пр. Независимости, 119;г. Минск;г. Минск;Минская обл.;220114;Мінскі;Минск
OJM5;Поликлиника;Учреждение здравоохранения «20-я городская детская поликлиника»;20-я городская детская поликлиника;ул. Ольшевского, 29, корп. 2;г. Минск;г. Минск;Минская обл.;220073;Мінскі;Минск
